#EEP	M/Mo	LogTeff	LogG	LogL/Lo	sdss_u	sdss_g	sdss_r	sdss_i	sdss_z
166	0.849407	3.7807	3.7452	0.6981	4.2405	3.3233	2.9951	2.9006	2.8886
167	0.849754	3.7758	3.7201	0.7040	4.2515	3.3229	2.9781	2.8758	2.8582
168	0.850099	3.7709	3.6949	0.7097	4.2663	3.3232	2.9621	2.8522	2.8288
169	0.850453	3.7669	3.6727	0.7158	4.2778	3.3207	2.9457	2.8293	2.8013
170	0.850807	3.7634	3.6526	0.7223	4.2864	3.3157	2.9286	2.8067	2.7745
171	0.851150	3.7601	3.6326	0.7293	4.2936	3.3094	2.9107	2.7836	2.7476
172	0.851477	3.7571	3.6126	0.7369	4.2987	3.3010	2.8917	2.7596	2.7199
173	0.851783	3.7542	3.5931	0.7453	4.3005	3.2898	2.8708	2.7344	2.6915
174	0.852064	3.7517	3.5742	0.7543	4.2992	3.2760	2.8484	2.7080	2.6621
175	0.852324	3.7495	3.5560	0.7639	4.2943	3.2598	2.8246	2.6808	2.6323
176	0.852563	3.7477	3.5386	0.7740	4.2863	3.2414	2.7997	2.6530	2.6024
177	0.852786	3.7461	3.5223	0.7845	4.2744	3.2210	2.7739	2.6250	2.5725
178	0.852996	3.7447	3.5060	0.7949	4.2620	3.2003	2.7481	2.5970	2.5427
179	0.853196	3.7435	3.4905	0.8057	4.2469	3.1780	2.7217	2.5686	2.5129
180	0.853387	3.7424	3.4754	0.8164	4.2310	3.1555	2.6950	2.5402	2.4832
181	0.853572	3.7414	3.4606	0.8273	4.2138	3.1322	2.6682	2.5118	2.4536
182	0.853796	3.7402	3.4426	0.8410	4.1914	3.1027	2.6345	2.4763	2.4167
183	0.854016	3.7392	3.4246	0.8549	4.1672	3.0719	2.6000	2.4400	2.3791
184	0.854237	3.7382	3.4067	0.8693	4.1416	3.0401	2.5645	2.4030	2.3409
185	0.854454	3.7374	3.3888	0.8838	4.1148	3.0077	2.5286	2.3655	2.3023
186	0.854671	3.7366	3.3709	0.8985	4.0870	2.9743	2.4922	2.3277	2.2636
187	0.854887	3.7358	3.3533	0.9133	4.0577	2.9402	2.4553	2.2896	2.2244
188	0.855102	3.7351	3.3356	0.9283	4.0283	2.9059	2.4182	2.2512	2.1852
189	0.855317	3.7345	3.3179	0.9434	3.9980	2.8710	2.3807	2.2126	2.1457
190	0.855531	3.7339	3.3003	0.9587	3.9669	2.8355	2.3430	2.1738	2.1061
191	0.855743	3.7333	3.2826	0.9740	3.9354	2.7998	2.3050	2.1348	2.0664
192	0.855955	3.7327	3.2649	0.9895	3.9031	2.7635	2.2667	2.0955	2.0263
193	0.856165	3.7322	3.2473	1.0052	3.8701	2.7266	2.2279	2.0558	1.9860
194	0.856376	3.7316	3.2294	1.0210	3.8369	2.6894	2.1889	2.0158	1.9454
195	0.856584	3.7311	3.2114	1.0370	3.8029	2.6516	2.1493	1.9754	1.9043
196	0.856790	3.7306	3.1933	1.0532	3.7682	2.6133	2.1091	1.9345	1.8627
197	0.856995	3.7301	3.1750	1.0698	3.7327	2.5741	2.0684	1.8929	1.8205
198	0.857198	3.7296	3.1562	1.0866	3.6967	2.5344	2.0270	1.8508	1.7777
199	0.857397	3.7291	3.1373	1.1035	3.6602	2.4940	1.9849	1.8079	1.7342
200	0.857594	3.7286	3.1180	1.1210	3.6225	2.4526	1.9418	1.7641	1.6898
201	0.857785	3.7280	3.0980	1.1390	3.5836	2.4098	1.8974	1.7189	1.6439
202	0.857969	3.7275	3.0774	1.1576	3.5430	2.3653	1.8513	1.6720	1.5963
203	0.858147	3.7269	3.0559	1.1767	3.5022	2.3199	1.8039	1.6236	1.5472
204	0.858319	3.7265	3.0345	1.1965	3.4589	2.2727	1.7552	1.5742	1.4972
205	0.858487	3.7259	3.0122	1.2165	3.4159	2.2251	1.7056	1.5238	1.4460
206	0.858648	3.7253	2.9893	1.2369	3.3724	2.1767	1.6551	1.4724	1.3938
207	0.858807	3.7247	2.9661	1.2577	3.3289	2.1278	1.6039	1.4201	1.3407
208	0.858961	3.7239	2.9424	1.2788	3.2848	2.0781	1.5519	1.3670	1.2868
209	0.859110	3.7233	2.9184	1.3002	3.2402	2.0279	1.4993	1.3133	1.2321
210	0.859255	3.7226	2.8940	1.3218	3.1952	1.9771	1.4460	1.2589	1.1767
211	0.859395	3.7219	2.8693	1.3437	3.1499	1.9258	1.3920	1.2037	1.1207
212	0.859530	3.7211	2.8440	1.3658	3.1045	1.8740	1.3376	1.1479	1.0639
213	0.859662	3.7203	2.8186	1.3883	3.0586	1.8217	1.2825	1.0916	1.0064
214	0.859790	3.7196	2.7931	1.4108	3.0116	1.7689	1.2269	1.0346	0.9486
215	0.859912	3.7188	2.7671	1.4337	2.9645	1.7157	1.1708	0.9773	0.8900
216	0.860030	3.7179	2.7408	1.4568	2.9177	1.6622	1.1144	0.9194	0.8310
217	0.860052	3.7178	2.7359	1.4611	2.9087	1.6522	1.1037	0.9086	0.8200
218	0.860073	3.7176	2.7310	1.4654	2.9000	1.6422	1.0932	0.8977	0.8089
219	0.860095	3.7175	2.7259	1.4698	2.8912	1.6321	1.0825	0.8868	0.7978
220	0.860116	3.7173	2.7209	1.4742	2.8822	1.6219	1.0717	0.8758	0.7865
221	0.860138	3.7172	2.7160	1.4786	2.8733	1.6118	1.0610	0.8647	0.7753
222	0.860158	3.7170	2.7110	1.4830	2.8642	1.6015	1.0501	0.8536	0.7640
223	0.860180	3.7169	2.7058	1.4874	2.8553	1.5913	1.0393	0.8425	0.7526
224	0.860201	3.7167	2.7008	1.4919	2.8462	1.5810	1.0284	0.8313	0.7412
225	0.860221	3.7165	2.6956	1.4964	2.8373	1.5706	1.0175	0.8201	0.7298
226	0.860242	3.7164	2.6906	1.5008	2.8282	1.5603	1.0065	0.8088	0.7182
227	0.860444	3.7146	2.6384	1.5462	2.7375	1.4556	0.8951	0.6945	0.6016
228	0.860618	3.7130	2.5888	1.5892	2.6545	1.3576	0.7898	0.5859	0.4908
229	0.860791	3.7112	2.5357	1.6354	2.5669	1.2526	0.6765	0.4693	0.3718
230	0.860943	3.7096	2.4846	1.6801	2.4819	1.1503	0.5664	0.3561	0.2562
231	0.861079	3.7076	2.4325	1.7246	2.4031	1.0509	0.4576	0.2435	0.1410
232	0.861206	3.7058	2.3816	1.7679	2.3264	0.9545	0.3518	0.1340	0.0290
233	0.861321	3.7039	2.3324	1.8097	2.2518	0.8609	0.2502	0.0289	-0.0787
234	0.861430	3.7020	2.2824	1.8521	2.1764	0.7665	0.1474	-0.0775	-0.1879
235	0.861528	3.7002	2.2356	1.8919	2.1060	0.6782	0.0514	-0.1769	-0.2899
236	0.861618	3.6987	2.1943	1.9271	2.0421	0.5994	-0.0341	-0.2654	-0.3806
237	0.861705	3.6971	2.1525	1.9628	1.9775	0.5204	-0.1203	-0.3546	-0.4720
238	0.861784	3.6952	2.1038	2.0037	1.9084	0.4320	-0.2182	-0.4564	-0.5769
239	0.861858	3.6933	2.0571	2.0429	1.8426	0.3474	-0.3121	-0.5541	-0.6775
240	0.861926	3.6916	2.0157	2.0776	1.7851	0.2726	-0.3952	-0.6405	-0.7666
241	0.861990	3.6906	1.9891	2.1000	1.7490	0.2246	-0.4487	-0.6961	-0.8239
242	0.862053	3.6911	1.9987	2.0926	1.7597	0.2391	-0.4312	-0.6775	-0.8044
243	0.862121	3.6899	1.9682	2.1186	1.7173	0.1832	-0.4932	-0.7420	-0.8709
244	0.862185	3.6875	1.9121	2.1647	1.6484	0.0861	-0.6029	-0.8569	-0.9896
245	0.862243	3.6850	1.8565	2.2105	1.5854	-0.0092	-0.7113	-0.9705	-1.1071
246	0.862295	3.6826	1.8021	2.2553	1.5277	-0.1014	-0.8166	-1.0812	-1.2216
247	0.862343	3.6802	1.7476	2.2999	1.4727	-0.1929	-0.9217	-1.1918	-1.3362
248	0.862386	3.6778	1.6952	2.3427	1.4217	-0.2797	-1.0220	-1.2976	-1.4458
249	0.862424	3.6754	1.6445	2.3842	1.3744	-0.3630	-1.1188	-1.3998	-1.5518
250	0.862460	3.6732	1.5948	2.4247	1.3304	-0.4436	-1.2129	-1.4994	-1.6552
251	0.862491	3.6709	1.5466	2.4639	1.2899	-0.5209	-1.3037	-1.5958	-1.7551
252	0.862520	3.6687	1.4989	2.5027	1.2521	-0.5963	-1.3929	-1.6904	-1.8537
253	0.862548	3.6664	1.4520	2.5404	1.2201	-0.6680	-1.4791	-1.7824	-1.9496
254	0.862572	3.6640	1.4059	2.5773	1.1929	-0.7369	-1.5631	-1.8722	-2.0434
255	0.862595	3.6617	1.3606	2.6134	1.1694	-0.8032	-1.6446	-1.9597	-2.1349
256	0.862616	3.6593	1.3159	2.6488	1.1496	-0.8671	-1.7242	-2.0453	-2.2247
257	0.862635	3.6571	1.2719	2.6835	1.1330	-0.9289	-1.8019	-2.1291	-2.3127
258	0.862653	3.6547	1.2287	2.7176	1.1194	-0.9883	-1.8775	-2.2109	-2.3986
259	0.862670	3.6525	1.1864	2.7508	1.1090	-1.0451	-1.9506	-2.2903	-2.4823
260	0.862686	3.6503	1.1448	2.7834	1.1014	-1.0998	-2.0219	-2.3679	-2.5641
261	0.862699	3.6480	1.1042	2.8150	1.0968	-1.1521	-2.0907	-2.4430	-2.6434
262	0.862712	3.6458	1.0637	2.8465	1.0952	-1.2027	-2.1582	-2.5171	-2.7220
263	0.862725	3.6435	1.0245	2.8769	1.0960	-1.2508	-2.2232	-2.5886	-2.7977
264	0.862736	3.6413	0.9856	2.9069	1.0996	-1.2972	-2.2868	-2.6588	-2.8724
265	0.862747	3.6391	0.9474	2.9360	1.1088	-1.3399	-2.3474	-2.7263	-2.9445
266	0.862757	3.6368	0.9096	2.9648	1.1211	-1.3807	-2.4064	-2.7924	-3.0154
267	0.862766	3.6345	0.8725	2.9930	1.1355	-1.4196	-2.4637	-2.8568	-3.0845
268	0.862775	3.6324	0.8361	3.0205	1.1509	-1.4567	-2.5193	-2.9194	-3.1518
269	0.862784	3.6302	0.8006	3.0474	1.1667	-1.4928	-2.5734	-2.9806	-3.2176
270	0.862791	3.6281	0.7658	3.0739	1.1827	-1.5279	-2.6265	-3.0406	-3.2821
271	0.862799	3.6260	0.7315	3.0998	1.1992	-1.5618	-2.6783	-3.0992	-3.3453
272	0.862806	3.6240	0.6980	3.1254	1.2160	-1.5946	-2.7289	-3.1566	-3.4071
273	0.862813	3.6220	0.6655	3.1501	1.2336	-1.6257	-2.7776	-3.2121	-3.4670
274	0.862819	3.6202	0.6336	3.1744	1.2517	-1.6555	-2.8252	-3.2664	-3.5257
275	0.862825	3.6184	0.6026	3.1981	1.2705	-1.6839	-2.8711	-3.3190	-3.5827
276	0.862831	3.6166	0.5723	3.2213	1.2897	-1.7110	-2.9158	-3.3704	-3.6384
277	0.862835	3.6148	0.5427	3.2440	1.3096	-1.7367	-2.9590	-3.4202	-3.6924
278	0.862840	3.6132	0.5144	3.2657	1.3276	-1.7618	-3.0008	-3.4682	-3.7445
279	0.862859	3.6118	0.4896	3.2849	1.3424	-1.7843	-3.0381	-3.5109	-3.7909
