lambda(m)	intenzitet(W/m^3)
0.000001883	6200727547809.7
0.00000189692	6105389384223.8
0.00000191075	5952598528171.28
0.00000192448	5742354979652.15
0.00000193813	5556674538781.79
0.00000195171	5475907710241.77
0.00000196519	5368496154760.71
0.00000197859	5240268406356.97
0.00000199192	5137852737177.35
0.00000200515	5045845164459.08
0.00000201831	4928025512516.68
0.00000203138	4821030280894.07
0.00000204438	4706541219819.3
0.0000020573	4594133778036.79
0.00000207013	4495881347441.72
0.00000208289	4385139201093.03
0.00000209558	4285637798922.59
0.00000210819	4176144624149.26
0.00000212073	4108741791465.6
0.0000021332	4040839370151.8
0.00000214559	3920396877901.14
0.00000215791	3820146092785.48
0.00000217015	3749953890250.19
0.00000218234	3698621158502.84
0.00000219444	3647538221070.57
0.00000220648	3570768101571.71
0.00000221845	3499077133145.97
0.00000223036	3431382873761.4
0.0000022422	3346869130495.3
0.00000225397	3285211567058.3
0.00000226568	3231464156931.92
0.00000227733	3180173057570.43
0.00000228891	3126675441759.12
0.00000230043	3049655527945.18
0.00000231189	2988997141768.48
0.00000232328	2930711801584.96
0.00000233463	2895157744073.01
0.0000023459	2830044692610.85
0.00000235711	2754939868545.8
0.00000236828	2712766261684.44
0.00000237937	2688036624492.28
0.00000239042	2628627209890.94
0.0000024014	2588202163235.08
0.00000241234	2541573891088.27

