lambda(m)	intenzitet(W/m^3)
0.0000001785	63447756028.3468
0.0000001795	63164655804.5983
0.0000001805	86445485969.3303
0.0000001815	101283268284.621
0.0000001825	97278232766.2961
0.0000001835	103822843821.189
0.0000001845	91603738575.5719
0.0000001855	102157548387.374
0.0000001865	116562353889.872
0.0000001875	130604957635.516
0.0000001885	139335268947.291
0.0000001895	153327913829.92
0.0000001905	160342970844.865
0.0000001915	171933427064.217
0.0000001925	184722895995.915
0.0000001935	144572623086.639
0.0000001945	233532705161.029
0.0000001955	225435206114.104
0.0000001965	253145722132.784
0.0000001975	257417204920.519
0.0000001985	259865189208.227
0.0000001995	282404962904.911
0.0000002005	305460978186.078
0.0000002015	337646975683.135
0.0000002025	333079902955.898
0.0000002035	383109541026.282
0.0000002045	423942585063.422
0.0000002055	437264948533.942
0.0000002065	450337517689.388
0.0000002075	520488087838.84
0.0000002085	595884338604.809
0.0000002095	859583870549.395
0.0000002105	1114374071923.07
0.0000002115	1348681139460.82
0.0000002125	1281652998249.78
0.0000002135	1156630943556.12
0.0000002145	1645728212467.55
0.0000002155	1355467218353.62
0.0000002165	1317998071092.79
0.0000002175	1282194219265.77
0.0000002185	1822998911397.15
0.0000002195	1905972256386.97
0.0000002205	1892691525302.3
0.0000002215	1338439572542.86
0.0000002225	1970294292518.07
0.0000002235	2507268805151.68
0.0000002245	2311013738276.6
0.0000002255	2039528950178.93
0.0000002265	1434735281003.21
0.0000002275	1446975202441.75
0.0000002285	2078580128101.88
0.0000002295	1772540459752.56
0.0000002305	2144400930123.42
0.0000002315	1847936710518.52
0.0000002325	1980077903191.73
0.0000002335	1668584392296.66
0.0000002345	1346724417326.09
0.0000002355	2167798330968.52
0.0000002365	1670707643974.78
0.0000002375	2017838477153.49
0.0000002385	1377782177166.74
0.0000002395	1709217600881.74
0.0000002405	1563212823722.03
0.0000002415	1823373602869.75
0.0000002425	2738495076136.88
0.0000002435	2494862354169.76
0.0000002445	2387534063460.39
0.0000002455	1890901332710.95
0.0000002465	1908844891010.3
0.0000002475	2205808699245.34
0.0000002485	1702431521988.95
0.0000002495	2205558904930.27
0.0000002505	2340905791313.57
0.0000002515	1806637383759.92
0.0000002525	1617626352021.93
0.0000002535	2099854277268.87
0.0000002545	2321047143265.33
0.0000002555	3314687296236.82
0.0000002565	3973686331783.22
0.0000002575	4913454177470.8
0.0000002585	5211542060123.66
0.0000002595	4270233816159.8
0.0000002605	3522058210132.62
0.0000002615	3428343709594.69
0.0000002625	4363074036594.98
0.0000002635	6448023919731.21
0.0000002645	10019666301405.7
0.0000002655	10354807007460.9
0.0000002665	10071290459853.9
0.0000002675	10114588141133.1
0.0000002685	10047143676063.6
0.0000002695	9029231842144.27
0.0000002705	11441412278025.1
0.0000002715	9488437058018.72
0.0000002725	7464270458216.74
0.0000002735	8489259797729.79
0.0000002745	5036269715714.64
0.0000002755	7273594131044.93
0.0000002765	9975119648551.12
0.0000002775	9896018115444.91
0.0000002785	6517133680234.52
0.0000002795	3070055397009.42
0.0000002805	3612483752188.77
0.0000002815	8441382554007.61
0.0000002825	11734087950518.1
0.0000002835	13008455281244.9
0.0000002845	9918499603801.41
0.0000002855	5080816368569.19
0.0000002865	13409791480794.3
0.0000002875	14626289795196.1
0.0000002885	12196623757260.2
0.0000002895	18234568676414.5
